Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
ATPase Asna1	Asna1	O54984	5	5	6	5	1	4	6	3	5	2	6	3	6	2	4	6	4.3125	6	0.452515966	348	23.37	25.67
Striatin	Strn	O55106;F8WH41	3	2	1	2	4	2	4	1	2	1	1	2	2	1	1	1	1.875	4	0.466309169	780	22.08	24.12
Eukaryotic translation initiation factor 3 subunit D	Eif3d	O70194	6	16	10	16	12	11	14	12	10	10	18	7	15	11	10	10	11.75	18	0.44973082	548	23.88	25.65
L-lactate dehydrogenase;L-lactate dehydrogenase A chain	Ldha	G5E8N5;P06151;D3YZQ9;D3Z736	87	128	128	131	90	131	132	128	135	122	147	133	142	150	138	151	129.5625	151	0.452593692	332	23.43	26.36
6-phosphofructokinase, liver type	Pfkl	P12382	6	6	9	6	5	5	8	7	9	2	8	3	6	4	8	7	6.1875	9	0.450660576	780	23.1	25.47
Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase	Umps	P13439	16	13	23	16	14	12	23	13	21	12	15	12	17	13	18	20	16.125	23	0.465130049	481	22.46	24.9
GDP-L-fucose synthase	Tsta3	P23591	6	6	3	5	5	3	5	2	7	3	6	4	4	4	3	4	4.375	7	0.455088906	321	24.15	26.54
Polyadenylate-binding protein 1	Pabpc1	P29341	47	56	50	50	44	44	46	37	48	44	42	49	49	44	55	46	46.9375	56	0.450790333	636	22.65	24.25
Transgelin	Tagln	P37804	5	3	3	4	4	2	4	3	3	1	3	3	3	5	3	3	3.25	5	0.465006021	201	23.22	25.2
Hydroxymethylglutaryl-CoA lyase, mitochondrial	Hmgcl	P38060	35	33	31	39	29	33	39	32	40	37	40	43	39	30	37	42	36.1875	43	0.456874318	325	22.01	24.72
Adenylosuccinate synthetase isozyme 2	Adss	P46664	7	10	9	8	4	7	8	7	9	6	8	5	10	5	10	12	7.8125	12	0.459167423	456	23.13	25.59
Phosphatidylcholine transfer protein	Pctp	P53808;Q5SV41	3	7	9	11	4	9	10	5	5	4	12	3	11	4	12	10	7.4375	12	0.465650257	214	24.96	27.5
RuvB-like 1	Ruvbl1	P60122	11	10	8	9	10	9	11	11	7	7	13	7	12	4	10	11	9.375	13	0.462236423	456	22.54	24.82
40S ribosomal protein S14	Rps14;Gm5805	P62264;D3Z7I1;D3YVF4;D3Z1P6	11	11	12	12	12	13	15	8	11	9	17	12	13	10	10	14	11.875	17	0.466583375	151	21.56	23.15
Platelet-activating factor acetylhydrolase IB subunit alpha	Pafah1b1	P63005;P63005-2	24	19	24	22	20	13	20	16	20	8	22	8	25	10	11	18	17.5	25	0.462162828	410	24.38	26.41
Translationally-controlled tumor protein	Tpt1	P63028;D3YU75	16	18	15	15	12	19	18	13	13	18	17	19	17	12	20	15	16.0625	20	0.45039703	172	23.93	26.45
14-3-3 protein eta	Ywhah	P68510	2	4	10	4	4	2	2	4	8	9	3	2	4	5	7	2	4.5	10	0.45217124	246	22.84	25.28
Estradiol 17 beta-dehydrogenase 5	Akr1c6	P70694	108	132	135	147	94	136	123	125	133	132	120	113	119	132	112	117	123.625	147	0.450566038	323	24.48	27.06
Protein S100-A13	S100a13	P97352	4	4	5	4	3	4	4	4	3	5	3	5	7	5	6	4	4.375	7	0.466713999	98	23.21	25.67
Nucleobindin-1	Nucb1	Q02819	13	19	20	18	14	19	20	14	17	11	16	15	18	13	14	18	16.1875	20	0.465614883	459	22.17	22.93
Heterogeneous nuclear ribonucleoproteins C1/C2	Hnrnpc	Q3U6P5;Q9Z204;Q9Z204-5	18	16	27	16	14	17	17	18	25	17	13	15	16	18	13	10	16.875	27	0.454769193	313	20.65	22.58
5-AMP-activated protein kinase catalytic subunit alpha-1	Prkaa1	Q5EG47	1	2	4	3	2	3	1	3	4	3	2	3	5	3	3	2	2.75	5	0.466377422	559	24.13	26.19
Ankyrin repeat domain-containing protein 40	Ankrd40	Q5SUE8;Q5SUE8-3;Q5SUE8-2	1	1	3	1	2	2	3	2	2	1	1	1	2	1	1	1	1.5625	3	0.453521568	363	22.17	23.66
Caseinolytic peptidase B protein homolog	Clpb	Q8CCN6;Q60649	8	9	10	10	5	9	8	10	11	5	11	6	9	6	7	10	8.375	11	0.459984958	677	23.02	24.85
Cytochrome P450 3A11	Cyp3a11	Q64459	19	14	31	35	19	14	19	48	51	17	44	13	12	10	11	7	22.75	51	0.466305119	504	25.18	28.05
	Slc9a3r2	Q6NS54	4	5	8	3	3	4	5	4	5	8	4	5	6	5	3	4	4.75	8	0.456823304	NA	NA	NA
UDP-glucose:glycoprotein glucosyltransferase 1	Uggt1	Q6P5E4	40	32	44	35	27	36	38	37	38	24	43	21	39	19	30	36	33.6875	44	0.463678994	1551	24.02	26.56
PEST proteolytic signal-containing nuclear protein	Pcnp	Q6P8I4;F8WI88;Q3TM89;D3YWA4	7	12	16	9	5	12	12	11	11	9	7	10	8	10	5	9	9.5625	16	0.465269568	178	20.25	21.54
Adenine phosphoribosyltransferase	Aprt	Q6PK77;P08030	4	4	8	7	2	5	5	4	7	4	6	4	6	4	5	7	5.125	8	0.452495124	180	22.99	25.56
Eukaryotic translation initiation factor 3 subunit C	Eif3c	Q8R1B4	14	13	16	15	12	12	15	13	16	11	13	13	12	9	13	14	13.1875	16	0.461984704	911	23.25	24.98
Aspartoacylase-2	Acy3	Q91XE4	11	11	11	12	11	9	11	11	10	6	11	8	10	8	9	8	9.8125	12	0.453765608	318	23.16	25.31
Neural Wiskott-Aldrich syndrome protein	Wasl	Q91YD9	2	5	4	4	3	6	7	5	4	5	5	4	5	4	6	4	4.5625	7	0.447081866	501	21.6	22.52
Ceramide synthase 2	Cers2;Lass2	Q924Z4;D3Z0Z2;D3YTM0;D3Z4M2	1	3	4	4	4	5	4	7	6	3	7	2	4	2	4	5	4.0625	7	0.449566183	380	27.52	30.5
ATPase family AAA domain-containing protein 3	Atad3;Atad3a	Q925I1;F8WI53;Q925I1-2	24	27	22	27	28	26	30	16	23	25	35	21	29	23	26	32	25.875	35	0.458058124	591	22.4	23.7
ADP-ribosylation factor GTPase-activating protein 2	Arfgap2	Q99K28-2;Q99K28	11	15	19	14	11	13	14	13	16	7	14	7	15	7	15	15	12.875	19	0.463024919	520	21.62	23.43
Plastin-3	Pls3	Q99K51	40	62	49	55	37	52	47	53	54	38	51	43	65	45	45	54	49.375	65	0.463240485	630	23.31	26.05
3-hydroxyisobutyrate dehydrogenase, mitochondrial	Hibadh	Q99L13;E9Q155	42	43	47	45	34	38	42	36	43	39	44	37	49	33	40	51	41.4375	51	0.463272859	335	22.32	25.16
DnaJ homolog subfamily A member 3, mitochondrial	Dnaja3	Q99M87;Q99M87-2;Q99M87-3	7	11	14	12	8	12	15	11	10	9	16	10	13	10	12	15	11.5625	16	0.454767512	480	22.77	24.8
28S ribosomal protein S16, mitochondrial	Mrps16	Q9CPX7	2	2	2	5	2	3	1	1	3	1	3	2	2	2	3	3	2.3125	5	0.460983656	135	23.95	25.59
Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11	Uqcrfs1	Q9CR68	27	24	25	27	29	24	34	27	26	23	31	22	33	26	28	31	27.3125	34	0.449265994	274	22.22	24.45
28S ribosomal protein S22, mitochondrial	Mrps22	Q9CXW2	11	8	8	8	7	9	11	7	9	8	10	6	13	7	12	11	9.0625	13	0.448551925	359	23.52	25.04
Cytosolic 5-nucleotidase 3	Nt5c3	Q9D020-1;Q9D020	9	11	10	9	11	12	11	12	11	9	8	9	10	10	6	6	9.625	12	0.453898292	331	23.94	26.9
Armadillo repeat-containing protein 1	Armc1	Q9D7A8	8	4	5	6	3	4	7	4	3	2	7	6	5	4	6	4	4.875	8	0.463193991	282	21.98	24.07
Bifunctional coenzyme A synthase;Phosphopantetheine adenylyltransferase;Dephospho-CoA kinase	Coasy	Q9DBL7	34	51	42	46	34	42	42	32	36	33	38	37	43	43	37	40	39.375	51	0.460338227	563	22.64	24.75
UMP-CMP kinase	Cmpk1	Q9DBP5	20	28	25	22	18	22	21	20	24	21	17	23	24	26	18	23	22	28	0.46406454	196	23.27	25.8
28S ribosomal protein S15, mitochondrial	Mrps15	Q9DC71	5	10	6	8	4	6	7	7	5	4	6	7	7	4	5	3	5.875	10	0.453749608	258	23.08	24.8
SH3 domain-binding glutamic acid-rich-like protein	Sh3bgrl	Q9JJU8	12	15	14	9	7	11	18	11	14	8	14	12	19	8	13	17	12.625	19	0.454761385	114	22.54	24.26
Actin-related protein 2/3 complex subunit 3	Arpc3	Q9JM76	17	18	14	15	14	16	15	16	11	12	13	15	13	14	9	11	13.9375	18	0.449581238	178	24.69	27.1
Mitotic checkpoint protein BUB3	Bub3	Q9WVA3	3	6	8	5	2	5	6	6	8	4	8	4	7	4	8	6	5.625	8	0.45481779	326	23.97	26.08
Proteasome subunit alpha type-5;Proteasome subunit alpha type	Psma5;Gm8394	Q9Z2U1;D3YX79	28	29	27	29	23	29	26	25	26	23	24	26	24	25	30	27	26.3125	30	0.460047749	241	22.47	24.62
Hsc70-interacting protein	St13	Q99L47;F8WJK8	12	19	12	14	9	14	19	18	12	12	14	15	16	14	13	15	14.25	19	0.467323524	371	21.95	23.02
Epididymal secretory protein E1	Npc2	Q9Z0J0	7	9	10	9	10	9	9	6	8	5	9	4	12	5	10	9	8.1875	12	0.467311793	149	23.59	26.19
S-methyl-5-thioadenosine phosphorylase	Mtap	Q9CQ65	13	13	10	11	11	11	16	9	8	8	8	7	12	7	10	10	10.25	16	0.467663502	283	23.19	25.27
Coiled-coil domain-containing protein 25	Ccdc25	Q78PG9	6	5	11	8	7	10	8	8	8	5	9	7	8	6	8	10	7.75	11	0.468788375	208	24.26	26.6
Probable E3 ubiquitin-protein ligase HERC4	Herc4	Q6PAV2;Q6PAV2-2	2	4	4	5	4	4	7	5	5	1	6	2	4	3	6	6	4.25	7	0.469484618	1057	24.19	26.94
Long-chain fatty acid transport protein 4	Slc27a4	Q91VE0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0.375	1	0.339101352	643	24.39	27
	Mcc	E9PWI3;G3UW40	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0.75	1	0.319765945	NA	NA	NA
Platelet-activating factor acetylhydrolase IB subunit beta	Pafah1b2	Q61206;F8WIW7	0	2	0	2	1	2	1	1	1	0	1	1	0	1	1	2	1	2	0.317415577	229	23.36	25.38
COMM domain-containing protein 4	Commd4	Q9CQ02	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0.75	1	0.308191259	199	22.42	24.93
Zinc finger FYVE domain-containing protein 19	Zfyve19	Q9DAZ9;Q4KL52	1	1	2	2	0	2	1	2	2	2	0	2	2	1	0	0	1.25	2	0.318110582	389	21.14	22.01
Conserved oligomeric Golgi complex subunit 5	Cog5	Q8C0L8	2	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1.3125	2	0.470015633	829	22.5	24.79
Catenin delta-1	Ctnnd1	E9Q8Z8;E9Q8Z6;P30999;G3X9V2;E9Q904;E9Q901;D3Z2H2;E9Q8Z9;E9Q8Z4;E9Q8Z5;P30999-3;P30999-2;E9Q903;E9Q905;E9Q907;D3Z7H6;E9Q986;E9Q906;D3Z2H7	14	10	9	11	13	8	21	10	8	8	10	7	10	9	11	10	10.5625	21	0.47107866	938	22.27	23.93
Serine/threonine-protein kinase RIO3	Riok3	Q9DBU3	1	2	2	1	1	2	1	2	2	3	2	1	2	1	2	2	1.6875	3	0.470912469	519	23.4	25.38
Actin-related protein 2/3 complex subunit 1A	Arpc1a	Q9R0Q6	17	15	16	16	19	16	20	15	17	14	21	12	23	13	14	16	16.5	23	0.471016769	370	24.37	26.63
Profilin-1;Profilin	Pfn1	P62962;Q5SX49;CON__P02584	36	35	36	40	31	39	39	37	37	38	39	34	40	48	38	42	38.0625	48	0.4714353	140	22.88	25.94
Dehydrogenase/reductase SDR family member 7	Dhrs7	Q9CXR1	0	0	1	1	0	0	0	2	2	0	1	0	0	0	0	0	0.4375	2	0.342052684	338	24.31	27.22
DNA repair protein complementing XP-G cells homolog	Ercc5	E9Q7X2;E9QM61;P35689	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0.375	1	0.343255962	1170	21.83	23.32
AP-3 complex subunit delta-1	Ap3d1	O54774	4	7	8	6	3	5	8	7	5	4	9	4	8	4	4	7	5.8125	9	0.473706324	1199	22.92	24.99
Quinone oxidoreductase	Cryz	P47199;D3YUG9	33	37	35	37	25	37	35	36	35	31	35	33	36	34	35	32	34.125	37	0.473289443	331	22.44	24.91
BAG family molecular chaperone regulator 5	Bag5	Q8CI32	6	6	7	6	5	8	4	5	4	3	6	4	6	3	6	6	5.3125	8	0.473115481	447	22.81	24.79
Serine/threonine-protein phosphatase 6 catalytic subunit	Ppp6c	Q9CQR6	4	4	7	5	3	5	4	4	5	4	6	4	6	3	5	4	4.5625	7	0.473554133	305	25.19	27.7
Mitochondrial tRNA-specific 2-thiouridylase 1	Trmu	Q9DAT5	8	8	4	7	8	7	6	7	3	9	5	7	2	7	3	4	5.9375	9	0.473702588	417	24.28	26.56
Ig mu chain C region membrane-bound form;Ig mu chain C region secreted form	Igh-6	P01873;P01872	7	11	7	9	7	8	11	5	9	5	6	5	7	6	6	8	7.3125	11	0.475038078	454	23.4	25.81
40S ribosomal protein S20	Rps20	P60867	26	26	16	24	21	21	27	18	18	24	18	25	18	20	14	16	20.75	27	0.474868481	119	23.33	25.05
Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	Atic	Q9CWJ9	39	34	36	31	33	33	39	25	28	25	33	30	36	23	32	32	31.8125	39	0.474474865	592	22.46	24.97
Proline dehydrogenase 1, mitochondrial	Prodh	Q9WU79	4	7	20	10	3	9	8	13	14	15	15	6	8	13	11	12	10.5	20	0.4749403	599	23.57	25.27
Uncharacterized protein C6orf203 homolog	1700021F05Rik	Q9CQF4;D3Z316	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0.25	1	0.344524034	240	24.2	26.86
L-asparaginase	Asrgl1	Q8C0M9	7	4	3	4	6	3	6	4	6	2	3	3	4	3	4	1	3.9375	7	0.475887229	326	21.22	23.85
Transmembrane emp24 domain-containing protein 9	Tmed9	E9PWI2;Q99KF1;Q8BLM5	7	8	10	10	4	7	5	8	12	5	8	3	5	5	4	5	6.625	12	0.479356737	235	24.6	26.4
28S ribosomal protein S11, mitochondrial	Mrps11	Q3U8Y1;Q9DCA2	3	6	5	6	7	7	6	5	3	4	4	7	7	4	5	3	5.125	7	0.479031601	191	22.08	23.81
Protein transport protein Sec31A	Sec31a	Q3UPL0;Q3UPL0-2	45	43	49	47	40	39	49	39	46	39	46	45	43	41	44	45	43.75	49	0.477110355	1230	22.12	23.86
Cytoplasmic dynein 1 light intermediate chain 2	Dync1li2	Q6PDL0	2	9	4	4	3	3	5	3	3	5	3	3	4	3	4	4	3.875	9	0.477934008	492	22.52	24.58
Signal recognition particle 68 kDa protein	Srp68	Q8BMA6;A2AAN2	9	11	17	12	10	9	13	10	14	9	14	8	13	6	14	12	11.3125	17	0.478911398	625	22.87	24.91
Complement C1r-A subcomponent;Complement C1r-A subcomponent heavy chain;Complement C1r-A subcomponent light chain;Complement C1r-B subcomponent;Complement C1r-B subcomponent heavy chain;Complement C1r-B subcomponent light chain	C1ra;C1rb	Q8CG16;F6QBW6;Q8CFG9;F8WHL5	2	3	3	3	2	3	3	3	2	1	4	2	6	2	3	3	2.8125	6	0.478490417	NA	NA	NA
Supervillin	Svil	Q8K4L3;E9PVA9;E9Q3Z5;Q8K4L2;E9Q983;F6R6A4	8	9	10	8	11	6	9	10	11	5	7	6	10	5	7	4	7.875	11	0.479750981	2170	22.29	23.76
Vacuolar protein sorting-associated protein 11 homolog	Vps11	Q91W86	1	3	3	5	3	2	3	4	6	1	2	2	2	2	1	1	2.5625	6	0.477073767	941	24.1	26.12
Protein dpy-30 homolog	Dpy30	Q99LT0	8	14	10	12	10	11	15	6	8	11	15	11	12	10	16	12	11.3125	16	0.477020112	99	21.72	23.48
V-type proton ATPase subunit G 1	Atp6v1g1	Q9CR51	1	9	2	8	1	9	3	6	4	3	3	7	5	5	3	3	4.5	9	0.478725838	118	21.84	22.74
General vesicular transport factor p115	Uso1	Q9Z1Z0;Q9Z1Z0-2	24	37	32	38	26	34	27	33	33	30	33	30	27	28	33	25	30.625	38	0.478763473	959	21.92	24.05
14 kDa phosphohistidine phosphatase	Phpt1	Q9DAK9	7	6	16	10	8	10	11	9	12	14	9	10	6	13	7	6	9.625	16	0.480136469	124	24.03	26.13
	Osgep	E9QMF4;E0CXW7	5	3	4	4	4	4	4	3	1	2	4	2	4	3	2	3	3.25	5	0.480692926	NA	NA	NA
Fragile X mental retardation syndrome-related protein 1	Fxr1	Q61584;Q61584-3;Q61584-4;F6R9D8;F6YLE3;Q61584-7;F8WHA2;Q61584-6;Q61584-5;F8WH60;Q61584-2;F7BNV1	7	6	11	8	6	8	6	8	7	7	5	4	6	6	3	5	6.4375	11	0.480884682	677	21.94	23.29
Serine/threonine-protein phosphatase 6 regulatory subunit 2	Ppp6r2	Q8R3Q2;G3X9K4;Q6A018	1	1	0	1	1	1	1	1	2	0	0	1	1	1	0	0	0.75	2	0.347490494	923	21.66	23.43
Galectin-8	Lgals8	A8DIL0;Q9JL15;Q8C6H0	1	2	1	2	0	1	2	2	1	0	2	1	0	1	1	0	1.0625	2	0.340089873	316	24.65	27.14
Trafficking protein particle complex subunit 1	Trappc1	B1ASW6;Q5NCF2;B1ASW5	2	1	1	1	2	1	1	1	1	0	1	0	1	0	1	0	0.875	2	0.363216929	145	26.13	28.84
PCI domain-containing protein 2	Pcid2	E9QMF9;Q8BFV2;E9Q1N1	2	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0.8125	2	0.372872065	399	25.45	28.22
	Fbxw9	F8VPX2	1	1	2	1	1	1	1	1	1	0	0	1	1	1	0	0	0.8125	2	0.329021148	NA	NA	NA
Segment polarity protein dishevelled homolog DVL-1	Dvl1	P51141	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0.75	1	0.373057285	695	21.83	23.33
La-related protein 4B	Larp4b	Q6A0A2;Q6A0A2-3;Q6A0A2-2	2	2	2	2	3	2	3	0	4	3	0	1	3	1	0	0	1.75	4	0.346879206	741	21.56	22.82
Alpha-ketoglutarate-dependent dioxygenase FTO	Fto	Q8BGW1;Q8BGW1-2;Q8BGW1-3;Q8BGW1-4;E9Q1E4;D3Z127	1	0	1	3	1	2	1	1	1	1	1	1	0	2	0	0	1	3	0.370178722	502	24.2	25.93
LETM1 domain-containing protein 1	Letmd1	Q924L1;Q924L1-2;Q924L1-3	1	0	2	1	2	0	2	2	2	2	2	0	1	0	1	2	1.25	2	0.36190231	360	25.5	27.62
Cleavage stimulation factor subunit 1	Cstf1	Q99LC2	0	1	2	1	1	1	0	1	0	1	3	0	1	1	3	3	1.1875	3	0.353642762	431	23.46	25.71
Histone deacetylase 10	Hdac10	G3X9I8;Q6P3E7;D3Z7T3;D3Z7T4	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0.375	1	0.359556675	666	22.51	24.53
AN1-type zinc finger protein 2B	Zfand2b	Q91X58;E0CY18;E0CYP5	2	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0.5	2	0.35590211	257	20.76	21.6
Receptor-type tyrosine-protein phosphatase C	Ptprc	F8WHG6;P06800;P06800-2;P06800-3;F8WGC7	1	1	4	0	1	0	1	0	3	0	0	0	0	0	0	0	0.6875	4	0.353303806	1293	22.92	24.98
UDP-glucuronosyltransferase 2A1;UDP-glucuronosyltransferase 2A2	Ugt2a1;Ugt2a2	Q80X89;Q6PDD0;D3YUX6	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0.5	3	0.354940576	NA	NA	NA
Endoplasmic reticulum-Golgi intermediate compartment protein 2	Ergic2	Q9CR89;Q9CR89-2	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0.3125	1	0.357512976	377	24.57	26.86
Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	Nos1ap	Q9D3A8;E9PYK5;Q9D3A8-2	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0.375	2	0.353867512	503	22.14	23.88
Ephrin-B1	Efnb1	P52795	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0.25	1	0.36299891	345	23.12	25.41
Valacyclovir hydrolase	Bphl	Q8R164	67	66	62	69	58	65	65	57	53	66	54	63	60	70	59	62	62.25	70	0.48320564	291	24.35	26.52
	Kidins220	E9Q9B7;E9PXC4;E9Q380;E9PXC8	2	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0.5	2	0.365031472	NA	NA	NA
	1110001A16Rik	Q8BTE5	0	0	1	0	0	0	2	0	0	0	2	0	2	0	0	2	0.5625	2	0.367829246	80	25.79	28.52
Serine/arginine-rich splicing factor 9	Srsf9	Q9D0B0;F6RTE1	0	0	1	2	0	2	0	0	0	0	0	1	1	0	0	0	0.4375	2	0.36588354	222	24.06	25.41
Nuclear export mediator factor Nemf	Nemf	Q8CCP0;Q8CCP0-2;Q8CCP0-3;Q8CCP0-4	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0.3125	2	0.367874489	1064	23.11	25.12
Protein SCO2 homolog, mitochondrial	Sco2	Q8VCL2	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0.375	1	0.374140256	255	24.1	25.65
Golgi SNAP receptor complex member 2	Gosr2	O35166;A2A9I0	0	0	1	1	1	1	1	2	1	2	3	2	2	3	2	0	1.375	3	0.131666233	212	23.35	24.94
High mobility group protein B3	Gm6104;Hmgb3	G5E920;O54879;A2AP78	5	1	1	1	6	2	5	1	2	0	4	0	1	0	2	1	2	6	0.303660125	200	23.39	25.15
Drebrin	Dbn1	Q9QXS6;Q9QXS6-3;Q9QXS6-2;A2CG17;A2CG18	1	2	1	1	1	1	2	0	1	0	1	0	1	1	1	1	0.9375	2	0.05936341	706	20.63	21.21
CDGSH iron-sulfur domain-containing protein 3, mitochondrial	Cisd3	B1AR13;B2RWE3	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0.8125	1	0.256315415	137	25.2	26.87
Myosin light chain 3;Myosin light chain 1/3, skeletal muscle isoform	Myl3;Myl1	P09542;P05977;E9PWG4;P05977-2	1	2	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0.875	2	0.171821899	NA	NA	NA
	4932425I24Rik	E9PZ32	3	0	4	1	3	1	5	1	1	1	0	1	1	0	1	1	1.5	5	0.171347631	NA	NA	NA
Factor VIII intron 22 protein	F8a;F8a1	E9Q169;Q9JJQ6;Q00558	0	2	0	1	0	1	1	1	1	1	2	1	2	1	2	3	1.1875	3	0.155121407	380	21.46	22.87
Peptidyl-prolyl cis-trans isomerase	Gm9234	E9Q1E3	1	1	1	1	1	1	1	1	1	0	1	0	2	1	0	1	0.875	2	0.280983266	NA	NA	NA
Epsin-3	Epn3	Q91W69;E9Q1Q2	3	2	2	2	3	2	3	1	1	0	3	0	3	0	4	2	1.9375	4	0.190465453	636	21.14	22.39
	Pi4ka	E9Q3L2	1	1	2	1	3	0	1	2	2	1	2	1	0	1	1	0	1.1875	3	0.080512006	2105	24.12	26.6
	Nup98	E9Q4S2	5	2	1	3	4	2	2	2	1	0	2	0	2	0	7	1	2.125	7	0.159609439	NA	NA	NA
Vesicle transport through interaction with t-SNAREs homolog 1B	Vti1b	O88384;Q91XH6;E9Q5B1;F6UHS3	0	1	1	1	0	2	1	1	2	1	2	0	1	1	1	2	1.0625	2	0.264541091	232	22.81	24.59
Kinesin-like protein KIF1C	Kif1c	E9Q9B0;O35071	4	2	2	3	2	0	3	2	3	0	2	0	4	2	2	1	2	4	0.132381543	1100	21.93	22.98
Acylphosphatase;Acylphosphatase-1	Acyp1	E9QJT5;P56376	0	2	4	3	1	1	0	2	3	1	2	2	1	2	2	0	1.625	4	0.29926876	99	23.99	26.45
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	Ppp2r5a	F6VYL0;Q6PD03	2	3	3	2	2	3	1	2	4	1	2	1	0	0	0	1	1.6875	4	0.162828399	486	24.59	26.91
Torsin-1A	Tor1a	Q9ER39;F7B7C1	3	2	1	2	1	1	2	1	2	0	2	0	1	0	1	1	1.25	3	0.214173609	333	24.98	28.09
Stabilin-1	Stab1	G3X973;Q8R4Y4;Q8R4Y4-2	3	1	4	2	2	1	2	0	2	1	5	0	3	0	2	4	2	5	0.21897142	2571	22.49	24.25
AP-3 complex subunit sigma-1	Ap3s1-ps2;Ap3s1	G3XA56;Q9DCR2	0	2	3	2	0	3	1	3	2	1	0	1	1	1	1	1	1.375	3	0.112287259	193	23.78	26.59
[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	Bckdk	O55028;D3Z7R0	1	1	2	3	1	3	3	1	1	0	2	0	1	0	2	4	1.5625	4	0.193272407	412	24.03	25.99
Inhibitor of nuclear factor kappa-B kinase subunit beta	Ikbkb	O88351;Q5D0E0	1	1	2	2	0	3	1	3	3	1	3	1	0	2	0	3	1.625	3	0.120210878	757	23.19	25.01
Collagen alpha-1(IV) chain;Arresten	Col4a1	P02463	0	2	2	2	0	2	2	2	2	2	0	1	2	2	1	1	1.4375	2	0.222496717	1669	19.81	20.68
Heparin cofactor 2	Serpind1	P49182	0	1	1	1	1	2	3	1	1	0	1	1	1	1	1	0	1	3	0.038709551	478	24.27	26.99
High mobility group protein HMGI-C	Hmga2	Q6NSP9;P52927	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0.8125	1	0.214822408	108	19.57	18.63
Ras-related protein Rab-8A	Rab8a	Q3UHW5;P55258	1	2	3	1	2	3	1	3	5	0	3	1	0	1	0	2	1.75	5	0.302250512	207	24.45	27.45
Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain	Masp1	P98064;P98064-2	0	2	2	2	0	2	1	2	2	1	2	2	3	3	0	3	1.6875	3	0.124366387	704	24.37	26.42
Cell growth-regulating nucleolar protein	Lyar	Q08288	0	5	6	6	0	6	3	6	7	3	1	1	1	5	1	0	3.1875	7	0.127493429	388	22.61	24.05
Carcinoembryonic antigen-related cell adhesion molecule 1	Ceacam1	Q925P3;Q3LFS9;P31809;P31809-2;Q3LFS5;P31809-3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0.8125	1	0.10485023	521	22.26	24.78
Putative phospholipase B-like 2;Putative phospholipase B-like 2 28 kDa form;Putative phospholipase B-like 2 40 kDa form;Putative phospholipase B-like 2 15 kDa form	Plbd2	Q3TCN2;Q3TCN2-2	1	2	1	1	2	1	3	1	1	0	3	0	1	0	2	3	1.375	3	0.151190956	594	24.13	26.69
Unconventional prefoldin RPB5 interactor	Uri1	Q3TLD5;Q3TLD5-2	1	0	2	1	1	0	1	1	1	2	1	1	1	0	1	1	0.9375	2	0.275926976	531	21.43	22.89
Protein Niban	Fam129a	Q3UW53;E9PYV4;D3Z233	0	2	3	1	0	2	1	3	1	1	1	2	3	2	1	0	1.4375	3	0.219100826	926	22.07	23.73
